MOTIF	37_7.346
>165	6.78026659735985
>166	4.650965469197508
>167	3.383974161484097
>168	5.739883058607077
>169	2.4603977895432623
>170	2.93922310528374
>171	5.734567535447755
>172	7.750497473459118
>173	3.9765432624919947
>174	4.321117316680011
>175	4.210544396062346
>176	2.210262531339295
>177	6.124072181155176
>178	5.5895786237763385
>179	2.648749495946021
>180	6.921148158084347
>181	2.3120601840493684
>182	4.910669668045325
>183	7.404655198912651
>184	4.70159784086665
>185	4.830855047574564
>186	5.188813480056413
>187	5.005236463735882
>188	3.5489506382611524
>189	3.303024233649761
>190	4.848325515642616
>191	5.525440156876337
>192	2.3301130957013516
>193	4.63416217452805
>194	5.5655854976913375
>195	6.643480486955127
>196	3.0132451561300098
>197	7.5787391880538895
>198	6.740818096172918
>199	5.716549709063486
>200	4.136620435864305
>201	3.486086925585192
>202	6.669826236546518
>203	6.156532360737616
>204	3.8339131576577254
>205	4.78438235352224
>206	3.3666081173678055
>207	4.210771673765001
>208	3.841020534335791
>209	4.519983732947802
>210	6.651810092168631
>211	4.330079205070241
>212	6.684213034149478
>213	6.843894589159056
>214	3.765322606732722
>215	5.436025975239419
>216	8.599413461948595
>217	6.228287818589599
>218	8.206411141920064
>219	2.1259491291455963
>220	3.8930437506662883
>221	1.8100224373730933
>222	4.668965108694872
>223	3.725538307492849
>224	5.629655794310759
>225	4.224607102248887
>226	4.797699179349314
>227	8.573212613916338
>228	7.664154760849834
>229	4.981705110168652
>230	4.354814373343141
>231	4.330804838117603
>232	2.4291917340462987
>233	4.05138862287861
>234	3.8361537281373868
>235	1.8568849900480329
>236	3.8536068388949776
>237	4.049954219149471
>238	7.243461229499468
>239	6.825094594873975
>240	3.6725938914050418
>241	2.672842145867042
>242	6.4114658190576215
>243	4.103568336921545
>244	6.699304928020295
>245	1.7251080072723786
>246	4.8363603758454055
>247	4.586791172079057
>248	4.720375205721412
>249	1.9781653429769117
